PN,text,frequency
positive,좋,33
positive,잘,25
positive,받,18
positive,다,15
positive,챙겨주,11
positive,쓰,10
positive,많,9
positive,저렴,8
positive,많이,8
positive,필요,7
positive,마음,6
positive,빠짐없이,5
positive,이것저것,5
positive,그냥,5
positive,만족스럽,4
positive,감사,3
positive,꼭,3
positive,챙기,3
positive,푸짐,2
positive,젤로,2
positive,모두,2
positive,풍년,1
positive,특별히,1
positive,특별,1
positive,빵빵,1
positive,그럭저럭,0
negative,없,14
negative,좀,5
negative,빠지,3
negative,어쩌,2
negative,곰팡이,2
negative,밖에,2
negative,누락,2
negative,까다롭,1
negative,싸구려,1
negative,복잡,1
